drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
quinidine,6474,50030,0.5834,NA,NA,NA,NA,9930,1.86,8454,1.609,NA,NA,328.8,1.273
quinidine,6474,76210,0.5347,NA,NA,NA,NA,13990,1.66,8634,1.614,NA,NA,326.9,0.7402
quinidine,6474,32090,0.6686,NA,NA,NA,NA,9955,1.774,8611,1.514,NA,NA,464.9,1.265
quinidine,6474,38430,0.6995,NA,NA,NA,NA,14470,1.373,10310,1.289,NA,NA,406.5,1.139
quinidine,6474,46710,0.6184,NA,NA,NA,NA,11910,1.525,8082,1.493,NA,NA,328.6,0.9972
quinidine,6474,33600,0.6979,NA,NA,NA,NA,17610,1.215,8630,1.649,NA,NA,320.4,1.052
quinidine,6474,54410,0.564,NA,NA,NA,NA,15170,1.287,9371,1.502,NA,NA,371.8,0.9385
quinidine,6474,75910,0.5506,NA,NA,NA,NA,12720,1.471,8554,1.555,NA,NA,297,0.9456
quinidine,6474,108100,0.4766,NA,NA,NA,NA,10990,1.84,10510,1.174,NA,NA,493.7,1.144
quinidine,6474,49120,0.6026,NA,NA,NA,NA,11510,1.608,10280,1.259,NA,NA,323,1.003
quinidine,6474,85780,0.4932,NA,NA,NA,NA,11810,1.535,9478,1.296,NA,NA,381.1,1.264
quinidine,6474,62870,0.5514,NA,NA,NA,NA,17770,1.072,10430,1.124,NA,NA,338.7,1.249
quinidine,6474,73720,0.5453,NA,NA,NA,NA,13440,1.342,10010,1.381,NA,NA,244.1,0.6706
quinidine,6474,29880,0.7369,NA,NA,NA,NA,14540,1.303,7931,1.52,NA,NA,289.2,0.8673
quinidine,6474,68230,0.5395,NA,NA,NA,NA,19290,1.114,8999,1.313,NA,NA,285.8,1.04
quinidine,6474,23260,0.7883,NA,NA,NA,NA,13030,1.39,12210,1.053,NA,NA,232.2,0.8007
quinidine,6474,47570,0.6226,NA,NA,NA,NA,9905,1.651,10400,1.328,NA,NA,347.6,1.113
quinidine,6474,51610,0.5899,NA,NA,NA,NA,13990,1.432,9813,1.27,NA,NA,299.3,1.173
